Block: 96
Row Block TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
92669 96 2020-07-29T10:18:06.364Z bb1ca62780157b83cce1f0d5109d33ae7426d5311e4a5c9cd03e10d901f07191 47a12331e8f59c3879a234dcd9ddec6babc2b9d0045db197dd76baa0f6f7bdca 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 039849ad746dc778ef09e41d94059fdfa3b4f5da6b235d223f718d86aab90a3810 02ed6b1d7e3bf53bcac1ae2bfa6d43b1d41f3d2a431efc3262ae0b897b05d5edf2 3hZMSLxpSW+/DbLutK+ks2EL38540PJuQeWGISKM3nkdiwHNg1hCTdEIBxh2c6dQrU0pLII5JBmLtTuQchtsKA== 47a12331e8f59c3879a234dcd9ddec6babc2b9d0045db197dd76baa0f6f7bdca bWzN0Y2Khy6pUJCunF1CPj/SkQcnMm+dR0LfKN/xdT7Ce1Q5dhAm9OdX9y4ipslN3T0bPB1LJpkZfn2cIvDoLw== S9LFKN5qn4O3jCanWxnKYsMekZOZC6ZNSetaZFGXWSCNMjxNl/WJVoRW4lf7bNgJw6HDdQemt5mwWJxS/5BO9A== FW4ex6orU4zXMUtm3pztMMnYageEY4WIS+xYoBp8P9SM1F9wjF8urEvTxbczDdooPzPP3Yr0DXO2TpOGb2KVJQ==
92670 96 2020-07-29T10:18:06.382Z 736b867706b4dcac394ae1c6b5c5ee93e6de0fd579e85c09c4fe3893c65044ac 736b867706b4dcac394ae1c6b5c5ee93e6de0fd579e85c09c4fe3893c65044ac 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 03f7c46e39464a5f28081973b75d7528ed969f2b004fb943d439e09342cb5e58d8 035a43347d0d37152e99e5fb956ae7ac553a44ec85442b348c9c17f173af5660c2 qO0dkJ4otveHLc2gmlQISi1xoaJ1GtdWX51sX6h0KCYwPiC1E5mFfIjgYynD5UXmjU7nf3ut6UWXuAaegXEwRg== 736b867706b4dcac394ae1c6b5c5ee93e6de0fd579e85c09c4fe3893c65044ac 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 /H73TgEVXQpASOxOE0Ck4Od9I1igaTzG6NCmHspSdy3GslTSG9odJlX8wZcx5qUEzqbHTha8GP+lVxm8IQ97/w== EnbkbJE/FGxupY4r5Z+eJu0lJxtdgTIDiDd7c2P6yD+Sbn0zllQBi6XLG/GnN/turW22+irRFutWcgKOperWiA==
92671 96 2020-07-29T10:18:06.394Z 457c6dec87aa7735278a0889ac8c4f233a7949a81547f37945af9b31cb60b096 457c6dec87aa7735278a0889ac8c4f233a7949a81547f37945af9b31cb60b096 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 03ae64d0b2e61441d73896d3a8ac90617582e5ca55f28b8a01062875692eea26b3 03c802eeb041407d69ae791a4141249eab92ce43082aab8d8e7a4797b50fe06612 kN5302hPucwVRIbAwUpreUH2jOnYvjDGfT55/RCv+ll75DO9wfc5Gjw6Q0U7i/8PwX9yiw3gx/EA0NJgjdvQ5g== 457c6dec87aa7735278a0889ac8c4f233a7949a81547f37945af9b31cb60b096 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 BUlE0h/gi9Su+VTwIff/68SPclPAcNA9NoOc7DKu3jGXwN54oLsSjsNKmIrNs6zfIeStI/YdJI7jdvnn3BpDeg== gf13LiO25ZPKhfYIdOJvnjI0s2KmohCQPl05ujJRjVF9AMEyRf+I0csfvLgEb7DAoiynKta/J4bzHztV0SWhlg==
92672 96 2020-07-29T10:18:06.406Z 639e69d84a4022c2fc95eb106e3c75ca7c54aaf143229c5a5e99c2cd20f6743d 639e69d84a4022c2fc95eb106e3c75ca7c54aaf143229c5a5e99c2cd20f6743d 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02c7b0fe0ec9c37c40bfd2cbb57bae73bdd1032ccd467f4116dcc778bcf9cccbd8 032e2d80562e54e4fed9bf2d416c3755fbc25ff4f6637bc21d8b1f4b5e43a607bc DN5xcYoVkEaQITU+Si8YHWyFEOyxyP3vFwCnEudjkp7PMFb+iZWP9oqThXM+J+4wpxxEfiEOh78dSz6U1vKRCQ== 639e69d84a4022c2fc95eb106e3c75ca7c54aaf143229c5a5e99c2cd20f6743d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 DBFZBqjF+zLSX0YxRdOuOl/TGWVcROc1K5luuLVD1gggepIvUzUfvXJuMxeu+gGoEoZsWcjK9ZHoT6LVETG9kQ== tkRas7WrWR/ry3fVk2AFfk0Ykl64lYbZ0POpWAIzmFOdwfAqU10ovEfzVpSzXyipZ/9H2/HPJ1tgWPEjZcs+qg==
92673 96 2020-07-29T10:18:06.417Z 21b9b8df8ecd8e561bc7c6159f3a955c24de41ac5f6ca68f51d12ebebbb955f8 21b9b8df8ecd8e561bc7c6159f3a955c24de41ac5f6ca68f51d12ebebbb955f8 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 03b3f1546a0a6d70f0071a09534f6d7d0281e107f0b0e7f0a6582cbde1f7aa58f0 02fc1836910c5db9c00102e2a3ca185861b60c6ba33b470787ecd5d56f2f2bbe9a c/ZVkLMXB/PuD23g6Z2VnB5CajvLI6kz3KLLlHOG5Zpif1dugVZg4mlLAUTO3ww4q9z5uDsYzozxyqab+YDr+g== 21b9b8df8ecd8e561bc7c6159f3a955c24de41ac5f6ca68f51d12ebebbb955f8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 oeWxpgq/XPNiTYckXpRfWsCpKv0BRMUFC0qButPARVe3amZjgy6wHhrPidKFryzJv5x6RB2fvAAblRAU/Lm5vg== ND4WiHG/mMCWMeZ3Lr+2ha1yS4AlkU2eJ3z2mXsmx06Jzaw46ZIUQpGFxBQ4Vx8/M1DykMGuRCr5hvuvhEVuPg==
92674 96 2020-07-29T10:18:06.434Z badd8a1e49d510e06fdbdc741ef4dcd16a553f8a8d52c8f4db929a275002e0d0 7b8c8860cbe8dd4a36ecd621b6b2b7ee37d72b1e2823653d863a17334b0732d9 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02b9f2e93171a90d9f972f707aff19f77ecb7775a90ddd2cb2416b03204a454576 02e11e0f2cdd84aba1e189dc10f2b96304efcb58aa7c8bd032d7ba939af877c3db rSiCo89mKe5ohAOLV9FzOGQCRsyz2kW1zxTf+ZqnVURLuetMvTLJ51ZFjEP46nDt5IB7Vqq04LunPkD0QfKMhA== 7b8c8860cbe8dd4a36ecd621b6b2b7ee37d72b1e2823653d863a17334b0732d9 Jn7iyzJJYlMJ8+K5fDgws7I6CurVHHCcI6XdY9vvEishRarzD6q1TRk+96V5UQRCw8+z1kJwi1mKQvB7RTTCIg== vTLjscSJ8CiiMBMIN0Rwb2T9yynYSUG+p0RMgCmvFswr7D5rod/01cjwof9h4A+XzUYwe68l0VA3RtH0RujkVQ== p3pGmbRlAf7OUTC7otlhsBBKYUSIDpOQ9uo5iX9FK+65Z+WJXoJ7kPpQwF87SHo3+Yiq27cNGwZLhOepkJzEFg==
92675 96 2020-07-29T10:18:06.451Z 067681c72b38e06bc15b89616eea6043c13e1df807f4ed197c74320e5a4973ea 067681c72b38e06bc15b89616eea6043c13e1df807f4ed197c74320e5a4973ea 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02b2a4dbc8004e6c774cfa2788747460e81326105129a610a1ee7002d28cca094f 02e948fa4e32b55bffdd5d8bccb8262e1c7548cf70646e88c99fca32b28924e482 b/56p1q00kWc1YnHusXxXCYrhc2u75RlhyaiF1QZgY8y6pLSb4aRRLHUiBRf5gOMVBt17AdpzrxOdvd5DMvB2Q== 067681c72b38e06bc15b89616eea6043c13e1df807f4ed197c74320e5a4973ea 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 y4jHJIgGbfQG670JcZ+/nX9LPW9e5elnpjLd0DkgRrMdlPiBEF40jTMSI19121m2zyxoyZO3cJATlgG8bBRgWw== 3qyIYldfOkfWB7qTyLQwJvAX48qvLvCKUZosIq9r19pg8wYr/+0E7f45OXMcL/VaOXU4mj30/g3nduSMIYox/g==
92676 96 2020-07-29T10:18:06.461Z cbb8c6fff378f1cddde96aff677f852227b0bc05b251de0e26a8aa671f5d80de cbb8c6fff378f1cddde96aff677f852227b0bc05b251de0e26a8aa671f5d80de 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 03ba3e6414a0bb582858d9af89b9771fdcedcf1597f3429627ebf3fac35bf484bb 02accc178d7e4f1d07a9e57d83674cb3a90e4c8b83c0b6e0d091beed7ac81f24c3 1rdHnQ2CMF28YU5IGa0J3514e80LSUHRcWDWDloGGndOCqtTTaFC+m5T5IAK/f19Zo3KG+N3ayx+hA+4MQcYiQ== cbb8c6fff378f1cddde96aff677f852227b0bc05b251de0e26a8aa671f5d80de 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 WkWj7eLXTsmiHtJ4hp1pQYmQMf4I8+vNn7PwHmdNDG1EoHENciiYRGujwEliqrPnR1i+VXLXBggwwcUOG9Q6KQ== 3U4kKcApHcz87TGUnRQ40HpQ3YBQ4NSRBW4s6ToaFoo3NzP5D+ZoS+vJXJ6YP1gNTNeXC/vvIAmeWthBMSPkcA==
92677 96 2020-07-29T10:18:06.476Z a74669e5200acda40ff94801468a799e2171117db7eddb8c6bac7c120cc4a338 a74669e5200acda40ff94801468a799e2171117db7eddb8c6bac7c120cc4a338 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 035db4e9e492a5ecc2755cbe1602534cdaef96cdb851ca706cbd98f08868f1707c 03f6901a04487564b55109fb072363d1f11a58fcd5b6658eddbd630ea0d5864c62 50dkmqaIbR+XmdeWUjzxmDFaCLVWtJMQzWWUk/9iCEuElZgNwSgY4kM8Qop/xNzlbrzgKkqWNqf2/OPsbwwf4g== a74669e5200acda40ff94801468a799e2171117db7eddb8c6bac7c120cc4a338 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 8ZAgiyu7evjiTd/VmXMlldWGz84JOci3ksEuqFZXgMKuZ7ifLjN4ngI7eKEnTXOJfWprSFtGBx01Av3ZwUSM0Q== mFPRlZfaiWwN38zOQQwkAu8ttzmkz36lXFwpbUC/TBXDg+J735kD5bhWxQ/3jX1ARggoMtE9XQhl4IWMfmBWfA==
92678 96 2020-07-29T10:18:06.498Z a160bb21f3c7dc8fe50e74a81b7f3cde4d09af8add04e3998453720e46d072d9 a160bb21f3c7dc8fe50e74a81b7f3cde4d09af8add04e3998453720e46d072d9 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02266be17801b462b6675040f4cd879274f4b45eff3bcdbb6a33b91459d3dc69c2 0375ec76eae415fad27dacc222289db667ec2570fafce2c167fd9677766e177f74 Q1NMKMIOz/V4FCjFap4PgNIDJKRE7f3qaqveLTIMYk1QgWUhM3xAC2ykLI9rZ5/ebOnzgRUtJvvv63DJjCh24A== a160bb21f3c7dc8fe50e74a81b7f3cde4d09af8add04e3998453720e46d072d9 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ftwK/GKDfPBGDHV3pyRDSEXQWwhmiQ4JqdGC0tIWH83TKLPhaxzpZznQtullKYCcTmkmUZxMzD+beCxmQkKRxw== 7ZJO489g+4ROOQ2zgt0NTfhC3T0xGC+R5lanP9O2sUxEbkZFoEnEK6qEJakMCy5zhd8OM2eG+vMuHGg4sZEOnA==
